随机种子: 0
输出目录: results/latest
训练集: (60000, 1, 28, 28), 测试集: (10000, 1, 28, 28)
训练标签分布(0~9): [5923, 6742, 5958, 6131, 5842, 5421, 5918, 6265, 5851, 5949]
测试标签分布(0~9): [980, 1135, 1032, 1010, 982, 892, 958, 1028, 974, 1009]
模型结构: lecture
开始训练 lecture 模型 (Epochs=4, Batch Size=64, LR=0.03)
权值数(不含 bias): 202620 / 202620, 可训练参数(含 bias): 202750
Epoch 1/4, Batch 0, Loss: 2.4070, Batch Acc: 0.1562
Epoch 1/4, Batch 100, Loss: 0.4491, Batch Acc: 0.8906
Epoch 1/4, Batch 200, Loss: 0.3513, Batch Acc: 0.9219
Epoch 1/4, Batch 300, Loss: 0.3791, Batch Acc: 0.9062
Epoch 1/4, Batch 400, Loss: 0.1774, Batch Acc: 0.9688
Epoch 1/4, Batch 500, Loss: 0.2629, Batch Acc: 0.9219
Epoch 1/4, Batch 600, Loss: 0.2431, Batch Acc: 0.9219
Epoch 1/4, Batch 700, Loss: 0.1562, Batch Acc: 0.9688
Epoch 1/4, Batch 800, Loss: 0.2104, Batch Acc: 0.9219
Epoch 1/4, Batch 900, Loss: 0.2328, Batch Acc: 0.9531
=== Epoch 1 结束 === train_loss=0.3307, train_acc=0.9039, test_acc=0.9458, seconds=7.88
Epoch 2/4, Batch 0, Loss: 0.2330, Batch Acc: 0.9219
Epoch 2/4, Batch 100, Loss: 0.0678, Batch Acc: 0.9844
Epoch 2/4, Batch 200, Loss: 0.2672, Batch Acc: 0.9375
Epoch 2/4, Batch 300, Loss: 0.1389, Batch Acc: 0.9219
Epoch 2/4, Batch 400, Loss: 0.1165, Batch Acc: 0.9531
Epoch 2/4, Batch 500, Loss: 0.1072, Batch Acc: 0.9688
Epoch 2/4, Batch 600, Loss: 0.1099, Batch Acc: 0.9688
Epoch 2/4, Batch 700, Loss: 0.0992, Batch Acc: 0.9688
Epoch 2/4, Batch 800, Loss: 0.0635, Batch Acc: 0.9844
Epoch 2/4, Batch 900, Loss: 0.1132, Batch Acc: 0.9531
=== Epoch 2 结束 === train_loss=0.1360, train_acc=0.9603, test_acc=0.9684, seconds=7.56
Epoch 3/4, Batch 0, Loss: 0.0774, Batch Acc: 0.9688
Epoch 3/4, Batch 100, Loss: 0.1637, Batch Acc: 0.9531
Epoch 3/4, Batch 200, Loss: 0.1185, Batch Acc: 0.9688
Epoch 3/4, Batch 300, Loss: 0.0713, Batch Acc: 1.0000
Epoch 3/4, Batch 400, Loss: 0.0319, Batch Acc: 1.0000
Epoch 3/4, Batch 500, Loss: 0.1071, Batch Acc: 0.9844
Epoch 3/4, Batch 600, Loss: 0.0440, Batch Acc: 0.9688
Epoch 3/4, Batch 700, Loss: 0.0904, Batch Acc: 0.9688
Epoch 3/4, Batch 800, Loss: 0.0772, Batch Acc: 0.9531
Epoch 3/4, Batch 900, Loss: 0.0371, Batch Acc: 1.0000
=== Epoch 3 结束 === train_loss=0.0940, train_acc=0.9728, test_acc=0.9759, seconds=7.57
Epoch 4/4, Batch 0, Loss: 0.0576, Batch Acc: 0.9844
Epoch 4/4, Batch 100, Loss: 0.0431, Batch Acc: 0.9844
Epoch 4/4, Batch 200, Loss: 0.1848, Batch Acc: 0.9219
Epoch 4/4, Batch 300, Loss: 0.1276, Batch Acc: 0.9375
Epoch 4/4, Batch 400, Loss: 0.0416, Batch Acc: 1.0000
Epoch 4/4, Batch 500, Loss: 0.0542, Batch Acc: 0.9844
Epoch 4/4, Batch 600, Loss: 0.0950, Batch Acc: 0.9531
Epoch 4/4, Batch 700, Loss: 0.0766, Batch Acc: 0.9688
Epoch 4/4, Batch 800, Loss: 0.0733, Batch Acc: 0.9688
Epoch 4/4, Batch 900, Loss: 0.0178, Batch Acc: 1.0000
=== Epoch 4 结束 === train_loss=0.0745, train_acc=0.9780, test_acc=0.9699, seconds=7.42
训练完成。最佳测试准确率 0.9759 出现在第 3 轮，总耗时 30.43 秒。
最终测试准确率(最佳模型): 0.9759
误分类样本数: 241 / 10000
结果摘要: results/latest/summary.json
